,high_price,low_price,open_price,close_price,average_price,volume,buy_volume,sell_volume,average_price_last_3h,average_price_last_1h,hour,dayahead
2024-03-26 22:00:00+01:00,67.19,49.11,54.15,53.02,54.38,4066.7,3479.2,3192.2,55.25,,22,56.65
2024-03-26 23:00:00+01:00,64.73,48.01,55.25,56.0,52.55,3649.6,3002.6,2639.5,52.57,,23,55.17
2024-03-27 00:00:00+01:00,60.0,49.2,53.1,55.0,52.84,1860.0,1666.7,1617.9,56.02,,0,56.09
2024-03-27 01:00:00+01:00,57.07,46.69,53.92,49.99,51.28,1981.0,1524.9,1625.8,52.69,,1,56.91
2024-03-27 02:00:00+01:00,61.87,46.1,54.11,46.28,51.68,1896.8,1462.1,1654.8,53.73,,2,57.1
2024-03-27 03:00:00+01:00,55.37,43.2,50.88,49.11,48.66,2271.3,1798.7,1826.3,47.89,,3,53.86
2024-03-27 04:00:00+01:00,58.77,42.0,49.97,45.02,48.45,2096.0,1752.9,1707.5,47.51,,4,52.95
2024-03-27 05:00:00+01:00,64.96,44.01,51.16,49.64,50.04,2170.3,1799.0,1789.7,49.6,,5,54.14
2024-03-27 06:00:00+01:00,84.62,50.12,54.95,74.52,57.58,2094.7,1817.6,1759.6,69.5,,6,56.89
2024-03-27 07:00:00+01:00,79.09,57.02,60.0,64.1,62.38,2044.1,1797.0,1774.2,72.44,,7,62.37
2024-03-27 08:00:00+01:00,92.98,54.15,58.51,70.0,61.73,2316.6,1938.8,1840.5,70.63,,8,61.5
2024-03-27 09:00:00+01:00,91.31,54.48,58.27,62.75,65.29,2621.6,2195.8,1913.9,73.82,,9,61.26
2024-03-27 10:00:00+01:00,100.19,52.23,56.58,92.68,65.82,2894.1,2358.9,2077.5,75.08,,10,62.86
2024-03-27 11:00:00+01:00,79.96,50.02,52.14,75.0,60.37,3823.9,2805.2,2198.3,64.78,,11,57.13
2024-03-27 12:00:00+01:00,79.55,51.02,52.67,67.7,62.45,3573.0,2233.4,1780.1,68.42,,12,57.66
2024-03-27 13:00:00+01:00,81.0,53.1,54.64,75.0,66.44,2991.6,1910.5,1589.2,72.37,,13,59.54
2024-03-27 14:00:00+01:00,80.19,52.7,58.08,62.0,65.52,2404.7,1651.0,1447.2,68.03,,14,61.45
2024-03-27 15:00:00+01:00,90.01,55.3,73.62,90.01,72.25,1851.5,1386.2,1364.3,79.08,,15,62.2
2024-03-27 16:00:00+01:00,112.9,70.79,81.28,112.12,86.87,1192.1,862.9,561.2,85.5,,16,76.0
2024-03-27 17:00:00+01:00,115.8,56.86,56.86,59.45,94.27,1641.9,1225.4,797.1,90.04,,17,94.44
2024-03-27 18:00:00+01:00,156.76,56.61,56.61,91.0,124.22,1089.0,806.7,717.4,121.04,,18,120.42
2024-03-27 19:00:00+01:00,146.29,56.06,56.06,120.88,125.21,1627.4,1014.0,1074.2,118.94,,19,116.88
2024-03-27 20:00:00+01:00,119.1,58.65,58.65,87.05,104.22,855.7,540.5,716.0,98.57,,20,97.6
2024-03-27 21:00:00+01:00,122.93,57.55,57.55,96.22,91.61,1147.6,538.2,755.3,94.83,,21,84.25
2024-03-27 22:00:00+01:00,135.01,57.25,57.25,135.0,93.27,1172.4,606.5,724.2,96.9,,22,83.02
2024-03-27 23:00:00+01:00,97.36,73.65,74.5,90.0,86.11,1019.3,622.3,639.1,90.34,,23,74.47
2024-03-28 00:00:00+01:00,78.6,58.63,78.09,73.0,68.74,1356.2,867.0,1254.7,72.31,,0,79.09
2024-03-28 01:00:00+01:00,82.56,57.02,71.58,65.9,66.76,1458.3,1117.8,1408.3,72.37,,1,72.6
